单词      复数    现在时            过去时
take	 ""	 "taking"	 "took"
purchasing	 ""	 ""	 ""

differenced	 null	 null	 null

drifty	 ""	 ""	 ""

lopping	 ""	 ""	 ""

filthily	 ""	 ""	 ""

loitering	 ""	 ""	 ""

submitting	 ""	 ""	 ""

duboisine	 ""	 ""	 ""

decistere	 ""	 ""	 ""

detriments	 null	 null	 null

stagnant	 ""	 ""	 ""

disarticulate	 ""	 ""	 ""

denotable	 ""	 ""	 ""

diplomatics	 ""	 ""	 ""

diagnostics	 ""	 ""	 ""

apprehensions	 ""	 ""	 ""

drugster	 ""	 ""	 ""

deshabille	 ""	 ""	 ""

discerp	 ""	 ""	 ""

diffusibleness	 ""	 ""	 ""

deliberateness	 ""	 ""	 ""

displaceable	 ""	 ""	 ""

deliveries	 ""	 ""	 ""

disfavor	 ""	 ""	 ""

disjuncture	 ""	 ""	 ""

dromond	 ""	 ""	 ""

sizing	 ""	 ""	 ""

declinometer	 ""	 ""	 ""

demureness	 ""	 ""	 ""

drools	 ""	 ""	 ""

denouncer	 ""	 ""	 ""

digressively	 ""	 ""	 ""

drier	 ""	 ""	 ""

inland	 ""	 ""	 ""

Deuteronomist	 ""	 ""	 ""

hybrids	 ""	 ""	 ""

subtracting	 ""	 ""	 ""

deludes	 ""	 ""	 ""

slaying	 "slayings"	 ""	 ""

dissipates	 ""	 ""	 ""

diarial	 ""	 ""	 ""

deray	 ""	 ""	 ""

difform	 ""	 ""	 ""

dynamization	 ""	 ""	 ""

demolishing	 ""	 ""	 ""

defalcation	 ""	 ""	 ""

Mauritius	 null	 null	 null

dissocial	 ""	 ""	 ""

potable	 "potables"	 ""	 ""

lowers	 ""	 ""	 ""

didymous	 ""	 ""	 ""

threes	 ""	 ""	 ""

disfiguration	 ""	 ""	 ""

durham	 ""	 ""	 ""

dolabra	 ""	 ""	 ""

decennary	 ""	 ""	 ""

distringas	 ""	 ""	 ""

unsheathe	 ""	 "unsheathing"	 "unsheathed"

deplores	 ""	 ""	 ""

diagrams	 ""	 ""	 ""

dithionic	 ""	 ""	 ""

dismask	 ""	 ""	 ""

demonized	 ""	 ""	 ""

dismast	 ""	 ""	 ""

dinned	 null	 null	 null

samarium	 ""	 ""	 ""

deservedly	 ""	 ""	 ""

vertiginous	 ""	 ""	 ""

osmosis	 ""	 ""	 ""

drest	 ""	 ""	 ""

disruptive	 ""	 ""	 ""

didactyl	 ""	 ""	 ""

lacing	 ""	 ""	 ""

demurrable	 ""	 ""	 ""

demoniacal	 ""	 ""	 ""

epigrammatic	 ""	 ""	 ""

dysphagy	 ""	 ""	 ""

respective	 ""	 ""	 ""

unawares	 ""	 ""	 ""

decalcification	 ""	 ""	 ""

downcome	 ""	 ""	 ""

disheartening	 ""	 ""	 ""

dynamical	 ""	 ""	 ""

stupidly	 ""	 ""	 ""

dissolvable	 ""	 ""	 ""

dazzled	 ""	 ""	 ""

Cynosurus	 ""	 ""	 ""

deodand	 ""	 ""	 ""

dendroid	 ""	 ""	 ""

declivitous	 ""	 ""	 ""

dreading	 ""	 ""	 ""

drainer	 ""	 ""	 ""

discountable	 ""	 ""	 ""

diacope	 ""	 ""	 ""

dotard	 ""	 ""	 ""

demagogical	 ""	 ""	 ""

dorsoventral	 ""	 ""	 ""

barristers	 ""	 ""	 ""

denigrator	 ""	 ""	 ""

deceivable	 ""	 ""	 ""

dextroglucose	 ""	 ""	 ""

decadent	 "decadents"	 ""	 ""

Dacia	 ""	 ""	 ""

devastates	 ""	 ""	 ""

diverticular	 ""	 ""	 ""

dunnage	 ""	 ""	 ""

doxy	 ""	 ""	 ""

dabs	 ""	 ""	 ""

drupaceous	 ""	 ""	 ""

divisional	 ""	 ""	 ""

pillages	 ""	 ""	 ""

zebra	 "zebra"	 ""	 ""

dithecal	 ""	 ""	 ""

inadequacy	 "inadequacies"	 ""	 ""

denationalizing	 ""	 ""	 ""

disproportionate	 ""	 ""	 ""

parallax	 "parallaxes"	 ""	 ""

fairs	 ""	 ""	 ""

desmology	 ""	 ""	 ""

diabolic	 ""	 ""	 ""

interpose	 ""	 "interposing"	 "interposed"

divertive	 ""	 ""	 ""

drawknife	 ""	 ""	 ""

dialectal	 ""	 ""	 ""

deprivable	 ""	 ""	 ""

dirk	 ""	 ""	 ""

dismounting	 ""	 ""	 ""

dispauper	 ""	 ""	 ""

dihedron	 ""	 ""	 ""

disputative	 ""	 ""	 ""

dishelm	 ""	 ""	 ""

deflect	 ""	 "deflecting"	 "deflected"

dutchman	 ""	 ""	 ""

decemvirate	 ""	 ""	 ""

disinterested	 ""	 ""	 ""

divorcee	 "divorcees"	 ""	 ""

dogmatics	 ""	 ""	 ""

purgatives	 ""	 ""	 ""

unfrock	 ""	 "unfrocking"	 "unfrocked"

demandant	 ""	 ""	 ""

seducer	 "seducers"	 ""	 ""

deadborn	 ""	 ""	 ""

deserter	 "deserters"	 ""	 ""

disgregate	 ""	 ""	 ""

dichotomize	 ""	 ""	 ""

dichromatic	 ""	 ""	 ""

demonomania	 ""	 ""	 ""

divisibility	 ""	 ""	 ""

depilate	 ""	 ""	 ""

dynamically	 ""	 ""	 ""

dementation	 ""	 ""	 ""

dynamiter	 ""	 ""	 ""

disproportionality	 ""	 ""	 ""

forcemeat	 ""	 ""	 ""

drawrod	 ""	 ""	 ""

dirl	 ""	 ""	 ""

subordinary	 ""	 ""	 ""

fenestration	 ""	 ""	 ""

fiddlewood	 ""	 ""	 ""

farfetched	 ""	 ""	 ""

Florentine	 ""	 ""	 ""

fatuity	 "fatuities"	 ""	 ""

lapwing	 "lapwings"	 ""	 ""

rasp	 "rasps"	 "rasping"	 "rasped"

forel	 ""	 ""	 ""

foothot	 ""	 ""	 ""

flogger	 ""	 ""	 ""

foy	 ""	 ""	 ""

harpooning	 ""	 ""	 ""

finiteness	 ""	 ""	 ""

washable	 "washables"	 ""	 ""

podlike	 ""	 ""	 ""

formularization	 ""	 ""	 ""

foreshadow	 ""	 "foreshadowing"	 "foreshadowed"

facular	 ""	 ""	 ""

periwig	 ""	 ""	 ""

inundate	 ""	 "inundating"	 "inundated"

sediments	 ""	 ""	 ""

fizgig	 ""	 ""	 ""

jetties	 ""	 ""	 ""

firstly	 ""	 ""	 ""

fiddle-faddle	 ""	 "fiddle-faddling"	 "fiddle-faddled"

Fitzroy	 null	 null	 null

flocculent	 ""	 ""	 ""

flinders	 ""	 ""	 ""

fibber	 "fibbers"	 ""	 ""

forestal	 ""	 ""	 ""

kicks	 ""	 ""	 ""

forestay	 ""	 ""	 ""

enfeoff	 ""	 "enfeoffing"	 "enfeoffed"

foretop	 ""	 ""	 ""

focalizing	 ""	 ""	 ""

forename	 "forenames"	 ""	 ""

Fonde	 ""	 ""	 ""

ensiform	 ""	 ""	 ""

farmost	 ""	 ""	 ""

Malaya	 null	 null	 null

ordinal	 "ordinals"	 ""	 ""

fireman	 "firemen"	 ""	 ""

flammation	 ""	 ""	 ""

scourges	 ""	 ""	 ""

apologue	 ""	 ""	 ""

mech	 ""	 ""	 ""

fascicled	 ""	 ""	 ""

furriery	 "furrieries"	 ""	 ""

fontal	 ""	 ""	 ""

frounce	 ""	 ""	 ""

impassable	 ""	 ""	 ""

fata	 ""	 ""	 ""

factitious	 ""	 ""	 ""

figuration	 ""	 ""	 ""

oviform	 ""	 ""	 ""

figurability	 ""	 ""	 ""

fending	 ""	 ""	 ""

enlargements	 ""	 ""	 ""

Fretter	 ""	 ""	 ""

percolate	 ""	 "percolating"	 "percolated"

fronton	 ""	 ""	 ""

monetary	 ""	 ""	 ""

titmice	 ""	 ""	 ""

whelps	 ""	 ""	 ""

exacerbation	 ""	 ""	 ""

free-soil	 ""	 ""	 ""

fuddle	 ""	 "fuddling"	 "fuddled"

foeman	 "foemen"	 ""	 ""

forceless	 ""	 ""	 ""

feting	 ""	 ""	 ""

Finan	 ""	 ""	 ""

flesh-colored	 ""	 ""	 ""

frondesce	 ""	 ""	 ""

fraternities	 ""	 ""	 ""

frisure	 ""	 ""	 ""

volitation	 ""	 ""	 ""

fabricator	 ""	 ""	 ""

flecked	 ""	 ""	 ""

three-coat	 ""	 ""	 ""

flecker	 ""	 ""	 ""

facies	 "facies"	 ""	 ""

tymp	 ""	 ""	 ""

foin	 ""	 "foining"	 "foined"

farctate	 ""	 ""	 ""

frondescence	 ""	 ""	 ""

furrowing	 ""	 ""	 ""

Formance	 ""	 ""	 ""

flightiness	 ""	 ""	 ""

forgone	 ""	 ""	 ""

foreshortening	 ""	 ""	 ""

fraise	 ""	 ""	 ""

sinew	 "sinews"	 ""	 ""

fasciolae	 ""	 ""	 ""

fresnel	 ""	 ""	 ""

naturalist	 "naturalists"	 ""	 ""

forcipated	 ""	 ""	 ""

love-lies-bleeding	 ""	 ""	 ""

Falco	 ""	 ""	 ""

farmhouse	 "farmhouses"	 ""	 ""

winder	 ""	 ""	 ""

panama	 ""	 ""	 ""

Fatimite	 ""	 ""	 ""

fjord	 "fjords"	 ""	 ""

fulminatory	 ""	 ""	 ""

fractionary	 ""	 ""	 ""

suppled	 null	 null	 null

fulmine	 ""	 "fulmining"	 "fulmined"

overarched	 ""	 ""	 ""

fragrances	 ""	 ""	 ""

objectively	 ""	 ""	 ""

hypermetropia	 ""	 ""	 ""

hypermetropic	 ""	 ""	 ""

fyke	 ""	 ""	 ""

made-up	 ""	 ""	 ""

flotilla	 "flotillas"	 ""	 ""

humilis	 ""	 ""	 ""

freshet	 ""	 ""	 ""

fabliau	 "fabliaux"	 ""	 ""

fichu	 ""	 ""	 ""

fizzing	 ""	 ""	 ""

carica	 ""	 ""	 ""

Foody	 ""	 ""	 ""

fiche	 ""	 ""	 ""

fribble	 ""	 "fribbling"	 "fribbled"

frustums	 ""	 ""	 ""

Fijian	 ""	 ""	 ""

fancifulness	 ""	 ""	 ""

fossulate	 ""	 ""	 ""

Joie	 ""	 ""	 ""

invents	 ""	 ""	 ""

foreignism	 ""	 ""	 ""

unprovided	 ""	 ""	 ""

frisks	 ""	 ""	 ""

fibreless	 ""	 ""	 ""

enlisted	 ""	 ""	 ""

forworn	 ""	 ""	 ""

flugel	 ""	 ""	 ""

foreflow	 ""	 ""	 ""

imprisoning	 ""	 ""	 ""

fillister	 ""	 ""	 ""

hoarfrost	 null	 null	 null

fettling	 ""	 ""	 ""

fenks	 ""	 ""	 ""

fourscore	 ""	 ""	 ""

freightage	 ""	 ""	 ""

subpeduncular	 ""	 ""	 ""

fascine	 ""	 ""	 ""

foliaged	 ""	 ""	 ""

fictions	 ""	 ""	 ""

furloughing	 ""	 ""	 ""

featured	 ""	 ""	 ""

fastness	 "fastnesses"	 ""	 ""

figurante	 ""	 ""	 ""

fancying	 null	 null	 null

Fullam	 ""	 ""	 ""

feverwort	 ""	 ""	 ""

flashily	 ""	 ""	 ""

Exocoetus	 ""	 ""	 ""

flatus	 "flatuses"	 ""	 ""

flysch	 ""	 ""	 ""

impotent	 ""	 ""	 ""

quoins	 ""	 ""	 ""

mustiness	 ""	 ""	 ""

flense	 ""	 "flensing"	 "flensed"

farrand	 ""	 ""	 ""

unshaken	 ""	 ""	 ""

competitors	 ""	 ""	 ""

scorpaenoid	 ""	 ""	 ""

fathomable	 ""	 ""	 ""

fasciola	 ""	 ""	 ""

fontanelle	 ""	 ""	 ""

folks	 ""	 ""	 ""

folder	 "folders"	 ""	 ""

frostily	 ""	 ""	 ""

feeler	 "feelers"	 ""	 ""

feudalist	 "feudalists"	 ""	 ""

feudalism	 ""	 ""	 ""

flagged	 ""	 ""	 ""

flap-mouthed	 ""	 ""	 ""

orache	 ""	 ""	 ""

flosculous	 ""	 ""	 ""

limberness	 ""	 ""	 ""

flintware	 ""	 ""	 ""

physicist	 "physicists"	 ""	 ""

well-disposed	 ""	 ""	 ""

fiacre	 ""	 ""	 ""

fugues	 ""	 ""	 ""

forenamed	 ""	 ""	 ""

furuncle	 ""	 ""	 ""

fourling	 ""	 ""	 ""

felter	 ""	 ""	 ""

hygiene	 ""	 ""	 ""

foray	 "forays"	 "foraying"	 "forayed"

Frist	 ""	 ""	 ""

fractionate	 ""	 "fractionating"	 "fractionated"

framable	 ""	 ""	 ""

tang	 "tangs"	 "tanging"	 "tanged"

fullery	 ""	 ""	 ""

fother	 ""	 ""	 ""

furfurous	 ""	 ""	 ""

farcing	 ""	 ""	 ""

well-bred	 ""	 ""	 ""

filtered	 ""	 ""	 ""

tetrahedrite	 ""	 ""	 ""

ichorous	 ""	 ""	 ""

kinglet	 ""	 ""	 ""

fang	 "fangs"	 ""	 ""

suppurating	 ""	 ""	 ""

facta	 ""	 ""	 ""

syncope	 ""	 ""	 ""

imflammation	 ""	 ""	 ""

incorrectness	 ""	 ""	 ""

fluxionary	 ""	 ""	 ""

forester	 "foresters"	 ""	 ""

foolery	 "fooleries"	 ""	 ""

funic	 ""	 ""	 ""

fifer	 "fifers"	 ""	 ""

furcated	 ""	 ""	 ""

funis	 ""	 ""	 ""

formulas	 ""	 ""	 ""

furlong	 "furlongs"	 ""	 ""

fingering	 ""	 ""	 ""

Phoenicopterus	 ""	 ""	 ""

faecal	 ""	 ""	 ""

faery	 "faeries"	 ""	 ""

firemen	 ""	 ""	 ""

musty	 ""	 ""	 ""

presentiment	 "presentiments"	 ""	 ""

finestiller	 ""	 ""	 ""

leave-taking	 ""	 ""	 ""

Fistularia	 ""	 ""	 ""

scalded	 ""	 ""	 ""

forgat	 ""	 ""	 ""

totters	 ""	 ""	 ""

subdivide	 ""	 "subdividing"	 "subdivided"

feretory	 ""	 ""	 ""

felonry	 "felonries"	 ""	 ""

furbish	 null	 "furbishing"	 "furbished"

predestination	 ""	 ""	 ""

fleawort	 ""	 ""	 ""

funicular	 ""	 ""	 ""

privily	 ""	 ""	 ""

frank-marriage	 ""	 ""	 ""

fruticous	 ""	 ""	 ""

filipendulous	 ""	 ""	 ""

hot-air	 ""	 ""	 ""

foremother	 ""	 ""	 ""

fosters	 ""	 ""	 ""

unlocking	 ""	 ""	 ""

fenestrated	 ""	 ""	 ""

flexibleness	 ""	 ""	 ""

fluidal	 ""	 ""	 ""

auspiciously	 ""	 ""	 ""

fletch	 ""	 "fletching"	 "fletched"

forenotice	 ""	 ""	 ""

fungosity	 ""	 ""	 ""

flashboard	 ""	 ""	 ""

figment	 "figments"	 ""	 ""

ery	 ""	 ""	 ""

wherefore	 "wherefores"	 ""	 ""

filler	 "fillers"	 ""	 ""

febrific	 ""	 ""	 ""

well-pleased	 ""	 ""	 ""

frosting	 ""	 ""	 ""

foraged	 ""	 ""	 ""

forages	 ""	 ""	 ""

forager	 ""	 ""	 ""

ferly	 ""	 ""	 ""

flunk	 ""	 "flunking"	 "flunked"

pelts	 ""	 ""	 ""

fibula	 "fibulae"	 ""	 ""

fore-topgallant	 ""	 ""	 ""

insultingly	 ""	 ""	 ""

flagellum	 "flagellums"	 ""	 ""

frivolity	 "frivolities"	 ""	 ""

flo	 ""	 ""	 ""

fLE	 ""	 ""	 ""

fluorene	 ""	 ""	 ""

floatable	 ""	 ""	 ""

Felidae	 ""	 ""	 ""

forme	 ""	 ""	 ""

perfidy	 "perfidies"	 null	 null

fraudulence	 ""	 ""	 ""

facile	 ""	 ""	 ""

woolfell	 ""	 ""	 ""

fraudulency	 ""	 ""	 ""

flayer	 ""	 ""	 ""

shoer	 ""	 ""	 ""

voluble	 ""	 ""	 ""

fatalities	 ""	 ""	 ""

flayed	 ""	 ""	 ""

pointer	 "pointers"	 ""	 ""

irresolute	 ""	 ""	 ""

four-o'clock	 ""	 ""	 ""

satyr	 "satyrs"	 ""	 ""

fungology	 ""	 ""	 ""

unimpaired	 ""	 ""	 ""

purporting	 ""	 ""	 ""

flong	 ""	 ""	 ""

feracity	 ""	 ""	 ""

frithstool	 ""	 ""	 ""

foreran	 null	 null	 null

provincialis	 ""	 ""	 ""

haddie	 ""	 ""	 ""

sifted	 ""	 ""	 ""

facetiae	 ""	 ""	 ""

FASSA	 ""	 ""	 ""

evanescence	 ""	 ""	 ""

flatuses	 ""	 ""	 ""

Equidae	 ""	 ""	 ""

flotage	 ""	 ""	 ""

foeticide	 ""	 ""	 ""

felonies	 ""	 ""	 ""

fluidize	 ""	 "fluidizing"	 "fluidized"

finochio	 "finochios"	 ""	 ""

fornices	 ""	 ""	 ""

Monacanthus	 ""	 ""	 ""

funky	 ""	 ""	 ""

filaceous	 ""	 ""	 ""

well-wisher	 "well-wishers"	 ""	 ""

foaled	 ""	 ""	 ""

Fiji	 null	 null	 null

footglove	 ""	 ""	 ""

facilitation	 ""	 ""	 ""

flustering	 ""	 ""	 ""

falanaka	 ""	 ""	 ""

Tisiphone	 ""	 ""	 ""

untried	 ""	 ""	 ""

formaldehyde	 ""	 ""	 ""

furoin	 ""	 ""	 ""

goddesses	 ""	 ""	 ""

febrifacient	 ""	 ""	 ""

strolls	 ""	 ""	 ""

melodic	 ""	 ""	 ""

filamentary	 ""	 ""	 ""

centimes	 ""	 ""	 ""

fagging	 ""	 ""	 ""

frolicked	 ""	 ""	 ""

flattered	 ""	 ""	 ""

wilted	 ""	 ""	 ""

Psyllidae	 ""	 ""	 ""

fevering	 null	 null	 null

foetal	 ""	 ""	 ""

obstructive	 ""	 ""	 ""

fly-fish	 ""	 "fly-fishing"	 "fly-fished"

feminal	 ""	 ""	 ""

firry	 ""	 ""	 ""

formyl	 ""	 ""	 ""

falculate	 ""	 ""	 ""

focimeter	 ""	 ""	 ""

rockrose	 ""	 ""	 ""

faintish	 ""	 ""	 ""

fens	 ""	 ""	 ""

flutelike	 ""	 ""	 ""

solmization	 ""	 ""	 ""

harbinger	 "harbingers"	 "harbingering"	 "harbingered"

frolicking	 ""	 ""	 ""

sumach	 ""	 ""	 ""

peony	 "peonies"	 null	 null

facture	 ""	 ""	 ""

fibroma	 "fibromata"	 ""	 ""

foisting	 ""	 ""	 ""

footprint	 "footprints"	 ""	 ""

flota	 ""	 ""	 ""

foreworn	 ""	 ""	 ""

fisticuff	 "fisticuffs"	 ""	 ""

fluctuations	 ""	 ""	 ""

freighting	 ""	 ""	 ""

floriferous	 ""	 ""	 ""

Lopez	 null	 null	 null

vaporous	 ""	 ""	 ""

familiarizing	 ""	 ""	 ""

fulminate	 "fulminates"	 "fulminating"	 "fulminated"

familiarities	 ""	 ""	 ""

luckless	 ""	 ""	 ""

Epilobium	 ""	 ""	 ""

transitorily	 ""	 ""	 ""

fulling	 ""	 ""	 ""

favose	 ""	 ""	 ""

fibrious	 ""	 ""	 ""

freethinking	 ""	 ""	 ""

falsifier	 ""	 ""	 ""

falsifies	 ""	 ""	 ""

falsified	 ""	 ""	 ""

Ferne	 ""	 ""	 ""

funguses	 ""	 ""	 ""

flipped	 ""	 ""	 ""

vagaries	 ""	 ""	 ""

foxhound	 "foxhounds"	 ""	 ""

foundling	 "foundlings"	 ""	 ""

flexes	 ""	 ""	 ""

assisi	 ""	 ""	 ""

flipper	 "flippers"	 ""	 ""

frontispiece	 "frontispieces"	 ""	 ""

Macropus	 ""	 ""	 ""

founds	 ""	 ""	 ""

fume	 ""	 "fuming"	 "fumed"

fletching	 ""	 ""	 ""

fumy	 ""	 ""	 ""

fairily	 ""	 ""	 ""

faham	 ""	 ""	 ""

fluxible	 ""	 ""	 ""

fixative	 "fixatives"	 ""	 ""

fizzling	 ""	 ""	 ""

vives	 ""	 ""	 ""

grin	 "grins"	 "grinning"	 "grinned"

glume	 ""	 ""	 ""

fahlband	 ""	 ""	 ""

finback	 ""	 ""	 ""

friskful	 ""	 ""	 ""

flawing	 ""	 ""	 ""

fuscous	 ""	 ""	 ""

frank-fee	 ""	 ""	 ""

forgoing	 ""	 ""	 ""

ravels	 null	 null	 null

songstress	 "songstresses"	 ""	 ""

subtilty	 ""	 ""	 ""

finicky	 ""	 ""	 ""

untamed	 ""	 ""	 ""

instantaneously	 ""	 ""	 ""

franchising	 ""	 ""	 ""

whites	 ""	 ""	 ""

featly	 ""	 ""	 ""

oppressions	 ""	 ""	 ""

Calabria	 ""	 ""	 ""

passus	 ""	 ""	 ""

intonated	 ""	 ""	 ""

fulgurate	 ""	 "fulgurating"	 "fulgurated"

flamboyant	 ""	 ""	 ""

thill	 ""	 ""	 ""

fosterling	 ""	 ""	 ""

fellahs	 ""	 ""	 ""

factum	 ""	 ""	 ""

friskily	 ""	 ""	 ""

frenums	 ""	 ""	 ""

felloe	 ""	 ""	 ""

floccus	 "flocci"	 ""	 ""

floored	 ""	 ""	 ""

fluvialist	 ""	 ""	 ""

Saturday	 "Saturdays"	 ""	 ""

folkmote	 ""	 ""	 ""

floorer	 ""	 ""	 ""

fleers	 ""	 ""	 ""

vacillate	 ""	 "vacillating"	 "vacillated"

wantonness	 ""	 ""	 ""

fleered	 ""	 ""	 ""

forte	 "fortes"	 ""	 ""

falx	 ""	 ""	 ""

puffy	 ""	 ""	 ""

plausibility	 ""	 ""	 ""

Falk	 ""	 ""	 ""

futurities	 ""	 ""	 ""

spumous	 ""	 ""	 ""

Alecto	 ""	 ""	 ""

trio	 "trios"	 null	 null

fauteuil	 "fauteuils"	 null	 null

fructescence	 ""	 ""	 ""

perspective	 "perspectives"	 ""	 ""

frostiness	 ""	 ""	 ""

freeborn	 ""	 ""	 ""

frangipane	 ""	 ""	 ""

sofas	 ""	 ""	 ""

flamelet	 ""	 ""	 ""

fatted	 ""	 ""	 ""

prejudge	 ""	 "prejudging"	 "prejudged"

fellahin	 ""	 ""	 ""

fruiteress	 ""	 ""	 ""

finnan	 ""	 ""	 ""

frigidarium	 ""	 ""	 ""

householder	 "householders"	 ""	 ""

firecrest	 ""	 ""	 ""

spline	 ""	 ""	 ""

farthingale	 ""	 ""	 ""

flyblow	 ""	 "flyblowing"	 "flyblew"

quintus	 ""	 ""	 ""

factorage	 ""	 ""	 ""

fillip	 "fillips"	 ""	 ""

homicide	 "homicides"	 ""	 ""

freckle	 "freckles"	 "freckling"	 "freckled"

ferny	 ""	 ""	 ""

foveolae	 ""	 ""	 ""

florescent	 ""	 ""	 ""

forehold	 ""	 ""	 ""

frills	 ""	 ""	 ""

familiarized	 ""	 ""	 ""

furfurine	 ""	 ""	 ""

foveola	 ""	 ""	 ""

finessing	 ""	 ""	 ""

sforzato	 ""	 ""	 ""

Friese	 ""	 ""	 ""

lubberly	 ""	 ""	 ""

flavine	 ""	 ""	 ""

saltire	 ""	 ""	 ""

flageolet	 ""	 ""	 ""

fireboard	 ""	 ""	 ""

fluxional	 ""	 ""	 ""

undissolved	 ""	 ""	 ""

fantasy	 "fantasies"	 "fantasying"	 "fantasied"

flaxy	 ""	 ""	 ""

quintuple	 ""	 "quintupling"	 "quintupled"

forthright	 "forthrights"	 ""	 ""

fisc	 ""	 ""	 ""

love-sick	 ""	 ""	 ""

foxed	 ""	 ""	 ""

flavin	 ""	 ""	 ""

peltry	 "peltries"	 ""	 ""

funding	 ""	 ""	 ""

louver	 ""	 ""	 ""

fantast	 ""	 ""	 ""

futtock	 ""	 ""	 ""

greasily	 ""	 ""	 ""

fauces	 ""	 ""	 ""

trickly	 ""	 ""	 ""

forklike	 ""	 ""	 ""

frisked	 ""	 ""	 ""

non-volatile	 ""	 ""	 ""

lanceolate	 ""	 ""	 ""

indulgent	 ""	 ""	 ""

flexed	 ""	 ""	 ""

smoothed	 ""	 ""	 ""

facet	 "facets"	 ""	 ""

Fuchs	 ""	 ""	 ""

figeater	 ""	 ""	 ""

flitter	 ""	 "flittering"	 "flittered"

prefigure	 ""	 "prefiguring"	 "prefigured"

forgetfully	 ""	 ""	 ""

flitted	 ""	 ""	 ""

feeze	 ""	 ""	 ""

falconry	 ""	 ""	 ""

fungate	 ""	 ""	 ""

fornical	 ""	 ""	 ""

easing	 null	 null	 null

refrigerator	 "refrigerators"	 ""	 ""

fiveling	 ""	 ""	 ""

greenroom	 "greenrooms"	 ""	 ""

directness	 ""	 ""	 ""

findable	 ""	 ""	 ""

frisking	 ""	 ""	 ""

finn	 ""	 ""	 ""

flavol	 ""	 ""	 ""

fing	 ""	 ""	 ""

retractile	 ""	 ""	 ""

folious	 ""	 ""	 ""

flabbiness	 ""	 ""	 ""

Tyrol	 null	 null	 null

lodgers	 ""	 ""	 ""

ferret	 "ferrets"	 "ferreting"	 "ferreted"

fruiting	 ""	 ""	 ""

fluidized	 ""	 ""	 ""

fugacity	 ""	 ""	 ""

fledged	 ""	 ""	 ""

proximal	 ""	 ""	 ""

petrify	 ""	 "petrifying"	 "petrified"

prim	 ""	 "primming"	 "primmed"

fane	 "fanes"	 ""	 ""

feaster	 ""	 ""	 ""

fusileer	 ""	 ""	 ""

forwardness	 ""	 ""	 ""

filleting	 ""	 ""	 ""

endows	 ""	 ""	 ""

exhumed	 ""	 ""	 ""

foramina	 null	 null	 null

fangle	 ""	 ""	 ""

frondent	 ""	 ""	 ""

futurity	 "futurities"	 ""	 ""

furfural	 ""	 ""	 ""

furfuran	 ""	 ""	 ""

furthers	 ""	 ""	 ""

fenny	 ""	 ""	 ""

fisetin	 ""	 ""	 ""

freta	 ""	 ""	 ""

fleecer	 ""	 ""	 ""

fulgurant	 ""	 ""	 ""

ignis	 ""	 ""	 ""

elections	 ""	 ""	 ""

fud	 ""	 ""	 ""

fub	 ""	 ""	 ""

flocculus	 ""	 ""	 ""

ful	 ""	 ""	 ""

fum	 ""	 ""	 ""

fraternization	 ""	 ""	 ""

pertinency	 ""	 ""	 ""

would-be	 ""	 ""	 ""

sillimanite	 ""	 ""	 ""

fustian	 ""	 ""	 ""

resplendence	 ""	 ""	 ""

feverishly	 ""	 ""	 ""

factitive	 ""	 ""	 ""

injuries	 ""	 ""	 ""

nondevelopment	 ""	 ""	 ""

hereditarily	 ""	 ""	 ""

studious	 ""	 ""	 ""

fuchsias	 ""	 ""	 ""

ridiculously	 ""	 ""	 ""

femora	 null	 null	 null

flocculi	 ""	 ""	 ""

fusome	 ""	 ""	 ""

Nicaragua	 null	 null	 null

pes	 ""	 ""	 ""

mungo	 "mungos"	 ""	 ""

fungic	 ""	 ""	 ""

fleshliness	 ""	 ""	 ""

pumice	 "pumices"	 "pumicing"	 "pumiced"

fogging	 ""	 ""	 ""

myosotis	 ""	 ""	 ""

hindrances	 ""	 ""	 ""

Trigonella	 ""	 ""	 ""

open-grained	 ""	 ""	 ""

